parejas,std
"(35, 4)",0.00404696248176309
"(35, 6)",0.0034417597978976845
"(35, 8)",0.003385248593130039
"(40, 4)",0.0046427087549208
"(40, 6)",0.0036402106789096673
"(40, 8)",0.0034367519342243373
"(45, 4)",0.0042588304731750026
"(45, 6)",0.0036901561561183387
"(45, 8)",0.0031906834805912896
"(50, 4)",0.0044384171148350434
"(50, 6)",0.0037788374280836715
"(50, 8)",0.0030390193648485277
"(55, 4)",0.003973830407216202
"(55, 6)",0.003290302371384313
"(55, 8)",0.002923643259581612
"(75, 4)",0.004257905997020805
"(75, 6)",0.0032422419857219566
"(75, 8)",0.002752864469347531
