,Alpha,K,Accuracy
0,1,1,0.254
1,1,10,0.252
2,1,20,0.269
3,1,30,0.263
4,1,40,0.273
5,1,50,0.28
6,1,60,0.279
7,1,70,0.278
8,1,80,0.285
9,1,90,0.283
10,1,100,0.291
11,1,110,0.297
12,1,120,0.286
13,1,130,0.29
14,1,140,0.299
15,1,150,0.294
16,10,1,0.882
17,10,10,0.89
18,10,20,0.886
19,10,30,0.874
20,10,40,0.868
21,10,50,0.862
22,10,60,0.854
23,10,70,0.857
24,10,80,0.853
25,10,90,0.844
26,10,100,0.839
27,10,110,0.832
28,10,120,0.825
29,10,130,0.83
30,10,140,0.828
31,10,150,0.823
32,20,1,0.933
33,20,10,0.928
34,20,20,0.916
35,20,30,0.91
36,20,40,0.907
37,20,50,0.9
38,20,60,0.894
39,20,70,0.886
40,20,80,0.882
41,20,90,0.88
42,20,100,0.876
43,20,110,0.875
44,20,120,0.866
45,20,130,0.861
46,20,140,0.86
47,20,150,0.852
48,30,1,0.937
49,30,10,0.929
50,30,20,0.926
51,30,30,0.919
52,30,40,0.909
53,30,50,0.898
54,30,60,0.896
55,30,70,0.885
56,30,80,0.88
57,30,90,0.876
58,30,100,0.875
59,30,110,0.872
60,30,120,0.865
61,30,130,0.863
62,30,140,0.863
63,30,150,0.857
64,40,1,0.932
65,40,10,0.934
66,40,20,0.919
67,40,30,0.916
68,40,40,0.904
69,40,50,0.901
70,40,60,0.894
71,40,70,0.885
72,40,80,0.88
73,40,90,0.879
74,40,100,0.873
75,40,110,0.872
76,40,120,0.861
77,40,130,0.859
78,40,140,0.852
79,40,150,0.851
80,50,1,0.934
81,50,10,0.927
82,50,20,0.925
83,50,30,0.908
84,50,40,0.901
85,50,50,0.898
86,50,60,0.889
87,50,70,0.883
88,50,80,0.877
89,50,90,0.871
90,50,100,0.869
91,50,110,0.858
92,50,120,0.85
93,50,130,0.846
94,50,140,0.841
95,50,150,0.84
96,60,1,0.929
97,60,10,0.927
98,60,20,0.919
99,60,30,0.912
100,60,40,0.899
101,60,50,0.895
102,60,60,0.884
103,60,70,0.876
104,60,80,0.869
105,60,90,0.867
106,60,100,0.853
107,60,110,0.85
108,60,120,0.846
109,60,130,0.838
110,60,140,0.836
111,60,150,0.83
112,70,1,0.928
113,70,10,0.924
114,70,20,0.915
115,70,30,0.907
116,70,40,0.901
117,70,50,0.89
118,70,60,0.874
119,70,70,0.875
120,70,80,0.865
121,70,90,0.862
122,70,100,0.847
123,70,110,0.846
124,70,120,0.842
125,70,130,0.835
126,70,140,0.834
127,70,150,0.827
128,80,1,0.925
129,80,10,0.922
130,80,20,0.91
131,80,30,0.906
132,80,40,0.895
133,80,50,0.886
134,80,60,0.875
135,80,70,0.868
136,80,80,0.863
137,80,90,0.858
138,80,100,0.845
139,80,110,0.843
140,80,120,0.841
141,80,130,0.832
142,80,140,0.831
143,80,150,0.824
144,90,1,0.923
145,90,10,0.925
146,90,20,0.909
