K,0,1,2,3,4,5,6,7,8,9
3,0.9928095410597318,0.9928160417242756,0.9525415251723456,0.9607694168235776,0.9560928973328828,0.9545938417974767,0.9878502834482329,0.975863719157207,0.9305497924200988,0.9618503559875988
4,0.9912241089911358,0.9925812924318048,0.9503907849225816,0.9559410176294856,0.9450090117812152,0.9567739919740724,0.9897290046786544,0.9710967239210908,0.9345309685394362,0.9725833289363168
5,0.9927756081128732,0.9933773039328132,0.9498733979326668,0.9622358911337536,0.9566365976087114,0.9549566810688744,0.988177801966954,0.9704937362274167,0.9290051146439804,0.9659637592000326
6,0.9933281468334372,0.9936877288712012,0.9432440184223634,0.9572592925788812,0.9483058757976388,0.9548132718172956,0.9893939996557236,0.9702197154794056,0.9312954224614984,0.9698377439854216
7,0.992732903465706,0.9944565381577768,0.9454482847073596,0.9601394743527156,0.9535045730125956,0.9553759381547448,0.9875556675501416,0.9716654050536188,0.9245555108789124,0.9626584107564409
1,0.9916087647081716,0.9949759297074344,0.9596564859444344,0.9562082461555153,0.9565255405503412,0.9518354514715428,0.9851188906569452,0.9703202711609968,0.931315386236305,0.9511711395729898
8,0.9921724835148142,0.9941386831073882,0.9446256184785792,0.956221536318861,0.9499244055160436,0.9551629708486996,0.9887632153244728,0.9674627411011779,0.9264291134370596,0.9609592547825312
9,0.9927550980928628,0.9944111419347774,0.9434923488668876,0.9585256260990718,0.955185256701524,0.9528772127711846,0.9856979025176082,0.9691868997530144,0.9208415514058828,0.9553616473670968
10,0.992105239481506,0.9941348988408546,0.9423299674953488,0.9561652407148551,0.949097571400744,0.9518421780126106,0.9872296154660609,0.9668347944496292,0.9254770847695704,0.9588895883636714
11,0.9918012881137246,0.9946675521911876,0.9395306889615319,0.9581720073024526,0.9533659505383806,0.9528525306659006,0.9860193122445052,0.9647442920360816,0.9189925887026142,0.9567511031791296
