Alpha,K,Accuracy
1,1,0.2569047619047619
1,2,0.24202380952380953
1,4,0.2763095238095238
1,6,0.27773809523809523
1,8,0.28154761904761905
1,10,0.28285714285714286
1,12,0.285
1,14,0.28904761904761905
1,16,0.2872619047619048
1,18,0.2866666666666667
1,20,0.2922619047619048
1,22,0.2926190476190476
1,24,0.29333333333333333
1,26,0.29392857142857143
1,28,0.29714285714285715
1,30,0.29595238095238097
1,32,0.29714285714285715
1,34,0.29773809523809525
1,36,0.2963095238095238
1,38,0.2953571428571429
1,40,0.2966666666666667
1,42,0.2945238095238095
1,44,0.2932142857142857
1,46,0.29285714285714287
1,48,0.2945238095238095
1,50,0.2969047619047619
1,52,0.29583333333333334
1,54,0.2947619047619048
1,56,0.29678571428571426
1,58,0.29428571428571426
1,60,0.29488095238095235
1,62,0.2972619047619048
1,64,0.2960714285714286
1,66,0.2954761904761905
1,68,0.29523809523809524
1,70,0.2980952380952381
1,72,0.2980952380952381
1,74,0.29619047619047617
1,76,0.2985714285714286
1,78,0.2976190476190476
1,80,0.30023809523809525
1,82,0.30023809523809525
1,84,0.30142857142857143
1,86,0.3005952380952381
1,88,0.3003571428571429
1,90,0.3020238095238095
1,92,0.3007142857142857
1,94,0.3013095238095238
1,96,0.3019047619047619
1,98,0.30083333333333334
1,100,0.3003571428571429
1,102,0.3003571428571429
1,104,0.30214285714285716
1,106,0.3032142857142857
1,108,0.30428571428571427
1,110,0.3019047619047619
1,112,0.30297619047619045
1,114,0.30333333333333334
1,116,0.303452380952381
1,118,0.3022619047619048
1,120,0.30452380952380953
1,122,0.30357142857142855
1,124,0.3044047619047619
1,126,0.3032142857142857
1,128,0.3036904761904762
1,130,0.3036904761904762
1,132,0.3036904761904762
1,134,0.30452380952380953
1,136,0.3028571428571429
1,138,0.30428571428571427
1,140,0.3030952380952381
1,142,0.305
1,144,0.30404761904761907
1,146,0.3055952380952381
1,148,0.3055952380952381
1,150,0.3055952380952381
5,1,0.6867857142857143
5,2,0.6880952380952381
5,4,0.7259523809523809
5,6,0.7383333333333333
5,8,0.7409523809523809
5,10,0.7483333333333333
5,12,0.7529761904761905
5,14,0.7545238095238095
5,16,0.7553571428571428
5,18,0.7558333333333334
5,20,0.7569047619047619
5,22,0.7572619047619048
5,24,0.7570238095238095
5,26,0.7570238095238095
5,28,0.7571428571428571
5,30,0.7569047619047619
5,32,0.7546428571428572
5,34,0.7560714285714286
5,36,0.756547619047619
5,38,0.7552380952380953
5,40,0.753452380952381
5,42,0.7544047619047619
5,44,0.7542857142857143
5,46,0.7546428571428572
5,48,0.7547619047619047
5,50,0.7547619047619047
5,52,0.7551190476190476
5,54,0.7538095238095238
5,56,0.7527380952380952
5,58,0.7535714285714286
5,60,0.7542857142857143
5,62,0.7519047619047619
5,64,0.7520238095238095
5,66,0.7511904761904762
5,68,0.7516666666666667
5,70,0.7526190476190476
5,72,0.7536904761904762
5,74,0.7529761904761905
5,76,0.7507142857142857
5,78,0.7513095238095238
5,80,0.7513095238095238
5,82,0.7509523809523809
5,84,0.7496428571428572
5,86,0.7501190476190476
5,88,0.7489285714285714
5,90,0.7490476190476191
5,92,0.7496428571428572
5,94,0.7491666666666666
5,96,0.7488095238095238
5,98,0.748452380952381
5,100,0.7483333333333333
5,102,0.7477380952380952
5,104,0.7473809523809524
5,106,0.7470238095238095
5,108,0.7472619047619048
5,110,0.7466666666666667
5,112,0.7467857142857143
5,114,0.7466666666666667
5,116,0.746547619047619
5,118,0.7458333333333333
5,120,0.7454761904761905
5,122,0.7458333333333333
5,124,0.7448809523809524
5,126,0.7458333333333333
5,128,0.7453571428571428
5,130,0.7455952380952381
5,132,0.7446428571428572
5,134,0.7453571428571428
5,136,0.7439285714285714
5,138,0.7439285714285714
5,140,0.7430952380952381
5,142,0.7428571428571429
5,144,0.7433333333333333
5,146,0.7422619047619048
5,148,0.7428571428571429
5,150,0.7426190476190476
10,1,0.9078571428571428
10,2,0.9019047619047619
10,4,0.9204761904761904
10,6,0.9221428571428572
10,8,0.9228571428571428
10,10,0.9236904761904762
10,12,0.9228571428571428
10,14,0.9215476190476191
10,16,0.9211904761904762
10,18,0.9195238095238095
10,20,0.9183333333333333
10,22,0.9180952380952381
10,24,0.9175
10,26,0.9170238095238096
10,28,0.9153571428571429
10,30,0.9152380952380952
