train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision
6000,1,10,15,0.905,0.905,0.9046966790899309,0.8942351181157151,0.9052097988936767
6000,3,10,15,0.9075,0.9075,0.9073555337059855,0.8969875828275516,0.9093809955164502
6000,5,10,15,0.9,0.9,0.9000450622870174,0.888663122442731,0.9022526070256156
6000,7,10,15,0.905,0.905,0.9048043488207743,0.8941953626941201,0.9079471351455589
6000,9,10,15,0.9025,0.9025,0.902267437852257,0.891397422777302,0.9044634327201745
6000,11,10,15,0.9,0.9,0.8996849232205668,0.8886274728181426,0.9035042024100092
6000,13,10,15,0.905,0.905,0.9045589064965192,0.8942233418464985,0.9068722722336449
6000,15,10,15,0.9025,0.9025,0.9019127898165208,0.8914261454193665,0.9045283385093168
6000,17,10,15,0.895,0.895,0.8946956674750024,0.8830588464590498,0.8972826742798433
6000,19,10,15,0.8925,0.8925,0.8923413402671013,0.8802961973164077,0.894734815997446
6000,21,10,15,0.8925,0.8925,0.8919649119221924,0.8802936980199743,0.8940246486663507
6000,23,10,15,0.9,0.9,0.8995933463421433,0.8886398752766603,0.9021832762185548
6000,25,10,15,0.895,0.895,0.894506602969663,0.8830751242326805,0.8971847098394022
6000,27,10,15,0.8875,0.8875,0.8872658274143891,0.8747399113436929,0.8902002911236654
6000,29,10,15,0.885,0.885,0.8848559309397023,0.8719661545312848,0.8877803601558345
6000,31,10,15,0.885,0.885,0.8844977064987029,0.8719581358774695,0.8869994230024719
6000,33,10,15,0.88,0.88,0.8793862619951119,0.8663827299678484,0.882809248246033
6000,35,10,15,0.88,0.88,0.8793877863158218,0.8663920280576741,0.8814215873179427
6000,37,10,15,0.88,0.88,0.8791319517297432,0.8663985359506231,0.8810568028085697
6000,39,10,15,0.88,0.88,0.8792760851538756,0.8663938875203541,0.88113335471721
6000,41,10,15,0.8775,0.8775,0.8769700963542476,0.8636199170586434,0.8792731990231989
6000,43,10,15,0.8725,0.8725,0.8718916611434037,0.8580573337044253,0.8743028474646175
6000,45,10,15,0.875,0.875,0.8745164806165079,0.86083277666444,0.8773155493633774
6000,47,10,15,0.87,0.87,0.8694529964364972,0.8552761581386288,0.8724668380812691
6000,49,10,15,0.87,0.87,0.8693972637912839,0.8552811928169377,0.8716888757335393
6000,51,10,15,0.8725,0.8725,0.8718405222473951,0.8580533830610371,0.8739010127758973
6000,1,20,15,0.945,0.945,0.9450625514794959,0.9387676999617298,0.9455970597826212
6000,3,20,15,0.945,0.945,0.9451019938046165,0.9387553415085673,0.9463572232031535
6000,5,20,15,0.95,0.95,0.9499403057952138,0.9443230377350612,0.9510439629138054
6000,7,20,15,0.9475,0.9475,0.9474275047205508,0.9415436647946721,0.9481449919786836
6000,9,20,15,0.955,0.955,0.9550536466259852,0.9498931750328826,0.9566710924684094
6000,11,20,15,0.955,0.955,0.9548589991020332,0.9498844558287162,0.9562176904065203
6000,13,20,15,0.9525,0.9525,0.9524362885724318,0.9471028362623978,0.953979392357052
6000,15,20,15,0.9425,0.9425,0.9424853297976852,0.9359616883840072,0.9442335858585861
6000,17,20,15,0.9425,0.9425,0.9425688872006632,0.935960351104336,0.9443426554568438
6000,19,20,15,0.9325,0.9325,0.9326447629553701,0.9248397625493239,0.9348318550253717
6000,21,20,15,0.935,0.935,0.9350759480835694,0.9276169265033407,0.9378332260832261
6000,23,20,15,0.93,0.93,0.9299894587996209,0.9220522528290857,0.9315213225679867
6000,25,20,15,0.925,0.925,0.9252474506602257,0.9164775811907513,0.9285758186735182
6000,27,20,15,0.915,0.915,0.9151551628315373,0.9053465291407413,0.9177844356626216
6000,29,20,15,0.9175,0.9175,0.9174009734296648,0.9081189442031407,0.920002805906017
6000,31,20,15,0.9175,0.9175,0.9176391465444536,0.908127257668242,0.9202883375578277
6000,33,20,15,0.92,0.92,0.9200493111414141,0.9109100400208805,0.9224783858815971
6000,35,20,15,0.915,0.915,0.9148446721298816,0.9053346697850541,0.9179777881089812
6000,37,20,15,0.9125,0.9125,0.9124495765887188,0.9025470036684092,0.9157178011152984
6000,39,20,15,0.9125,0.9125,0.9124315198641666,0.9025564998294738,0.914995190185876
6000,41,20,15,0.9125,0.9125,0.9124226237434472,0.9025680283944603,0.9155083868751684
6000,43,20,15,0.9075,0.9075,0.9074603038391227,0.8969918846309108,0.9110063720194533
6000,45,20,15,0.92,0.92,0.9198895620086222,0.9109119002213283,0.9227925192400934
6000,47,20,15,0.905,0.905,0.9052163568907587,0.8942122992121601,0.908765154114207
6000,49,20,15,0.91,0.91,0.9103612876179263,0.8997898370193044,0.9139660088150617
